S-18B Kaldi   0 0.260377 S: 28, I: 27, D: 14
S-18B Google  0 0.339623 S: 43, I:  1, D: 46
S-18B Kaldi   1 0.182648 S: 14, I: 15, D: 11
S-18B Google  1 0.305936 S: 25, I:  3, D: 39
S-18B Kaldi   2 0.215569 S: 24, I:  9, D:  3
S-18B Google  2 0.377246 S: 27, I:  5, D: 31
S-18B Kaldi   3 0.214286 S: 26, I: 14, D: 11
S-18B Google  3 0.378151 S: 44, I:  3, D: 43
S-18B Kaldi   4 0.231343 S: 25, I: 13, D: 24
S-18B Google  4 0.291045 S: 33, I:  3, D: 42
S-18B Kaldi   5 0.135714 S: 19, I:  8, D: 11
S-18B Google  5 0.292857 S: 34, I:  3, D: 45
S-18B Kaldi   6 0.160714 S:  4, I:  5, D:  9
S-18B Google  6 0.267857 S: 17, I:  1, D: 12
S-18B Kaldi   7 0.182292 S: 14, I:  9, D: 12
S-18B Google  7 0.296875 S: 35, I:  6, D: 16
S-18B Kaldi   8 0.307692 S:  8, I:  0, D:  4
S-18B Google  8 0.435897 S:  8, I:  0, D:  9
S-18B Kaldi   9 0.666667 S:  4, I:  2, D:  0
S-18B Google  9 1.000000 S:  4, I:  3, D:  2
S-18B Kaldi  10 0.384615 S:  9, I: 14, D:  2
S-18B Google 10 0.230769 S:  8, I:  0, D:  7
S-18B Kaldi  11 0.276316 S: 13, I: 17, D: 12
S-18B Google 11 0.348684 S: 32, I:  3, D: 18
S-23C Kaldi   0 0.191083 S: 18, I:  5, D:  7
S-23C Google  0 0.299363 S: 25, I:  1, D: 21
S-23C Kaldi   1 0.302564 S: 37, I:  4, D: 18
S-23C Google  1 0.435897 S: 48, I:  1, D: 36
S-23C Kaldi   2 0.329412 S: 11, I: 21, D: 24
S-23C Google  2 0.405882 S: 36, I:  9, D: 24
S-23C Kaldi   3 0.413146 S: 60, I:  4, D: 24
S-23C Google  3 0.568075 S: 70, I:  1, D: 50
S-23C Kaldi   4 0.254818 S: 60, I: 10, D: 49
S-23C Google  4 0.441113 S: 87, I:  5, D:114
S-23C Kaldi   5 0.219931 S: 33, I:  4, D: 27
S-23C Google  5 0.347079 S: 36, I:  1, D: 64
S-23C Kaldi   6 0.175000 S:  4, I:  0, D:  3
S-23C Google  6 0.350000 S:  3, I:  0, D: 11
S-23C Kaldi   7 0.171429 S:  8, I:  1, D:  3
S-23C Google  7 0.328571 S: 16, I:  0, D:  7
S-23C Kaldi   8 0.297619 S: 11, I:  4, D: 10
S-23C Google  8 0.357143 S: 14, I:  1, D: 15
S-23C Kaldi   9 0.304348 S:  4, I:  2, D:  1
S-23C Google  9 0.347826 S:  6, I:  0, D:  2
S-23C Kaldi  10 0.304348 S: 13, I:  0, D:  1
S-23C Google 10 0.652174 S: 13, I:  0, D: 17
S-23C Kaldi  11 0.202797 S: 15, I:  2, D: 12
S-23C Google 11 0.433566 S: 30, I:  2, D: 30
S-6B  Kaldi   0 0.433824 S: 34, I:  8, D: 17
S-6B  Google  0 0.536765 S: 40, I:  1, D: 32
S-6B  Kaldi   1 0.311224 S: 33, I: 10, D: 18
S-6B  Google  1 0.403061 S: 43, I:  2, D: 34
S-6B  Kaldi   2 0.139785 S: 21, I:  4, D: 14
S-6B  Google  2 0.293907 S: 48, I:  1, D: 33
S-6B  Kaldi   3 0.230366 S: 23, I:  8, D: 13
S-6B  Google  3 0.397906 S: 40, I:  1, D: 35
S-6B  Kaldi   4 0.138686 S: 31, I: 12, D: 14
S-6B  Google  4 0.248175 S: 55, I:  6, D: 41
S-6B  Kaldi   5 0.088421 S: 22, I:  7, D: 13
S-6B  Google  5 0.261053 S: 63, I:  7, D: 54
S-11C Kaldi   0 0.149733 S: 18, I:  6, D:  4
S-11C Google  0 0.245989 S: 18, I:  2, D: 26
S-11C Kaldi   1 0.212766 S: 12, I: 11, D:  7
S-11C Google  1 0.354610 S: 19, I:  0, D: 31
S-11C Kaldi   2 0.165746 S: 34, I:  7, D: 19
S-11C Google  2 0.243094 S: 55, I:  0, D: 33
S-11C Kaldi   3 0.180628 S: 35, I:  7, D: 27
S-11C Google  3 0.248691 S: 37, I:  0, D: 58
S-11C Kaldi   4 0.090747 S: 25, I:  3, D: 23
S-11C Google  4 0.217082 S: 70, I:  3, D: 49
